"Select Yes to enable ""Generate SVG"" button for design-orders to generate SVG image as print ready file.","Select Yes to enable ""Generate SVG"" button for design-orders to generate SVG image as print ready file."
Enable Handles Outside The Design Area,Enable Handles Outside The Design Area
Select Yes to allow handles outside the canvas. It will work for single design area only.,Select Yes to allow handles outside the canvas. It will work for single design area only.
Translate Store Elements,Translate Store Elements
Click on translate button to change language of the store elements like Button and Messages. It will be translated for all availabale stores based on updated CSV in Locale files.,Click on translate button to change language of the store elements like Button and Messages. It will be translated for all availabale stores based on updated CSV in Locale files.
Enable User Guide,Enable User Guide
"Select ""Yes"" to enable interactive user guide on Product Designer Tool.","Select ""Yes"" to enable interactive user guide on Product Designer Tool."
Cache Life Time ,Cache Life Time 
Enter life span of cached data on Magento in seconds.,Enter life span of cached data on Magento in seconds.
Layout,Layout
Main Tabs,Main Tabs
Text,Text
Default Font Type,Default Font Type
Select a default font for the text.,Select a default font for the text.
Default Font Size,Default Font Size
Select a default font size for the text.,Select a default font size for the text.
Enable Text-object Limit:,Enable Text-object Limit:
"Select ""Yes"" to set maximum text-objects allowed in a single design area.","Select ""Yes"" to set maximum text-objects allowed in a single design area."
Text Object Limit ,Text Object Limit 
Add text object limit. User will not be able to add more text objects on single design area than the set limit.,Add text object limit. User will not be able to add more text objects on single design area than the set limit.
Error Message,Error Message
Add the message which will be displayed if the number of characters exceeds the set text limit,Add the message which will be displayed if the number of characters exceeds the set text limit
Clipart,Clipart
Enable Clipart Limit:,Enable Clipart Limit:
"Select ""Yes"" to set maximum clipart allowed in a single design area","Select ""Yes"" to set maximum clipart allowed in a single design area"
Set Default Clipart Category,Set Default Clipart Category
Select a default category for clipart which will be shown to users when they opt for clipart addition,Select a default category for clipart which will be shown to users when they opt for clipart addition
Clipart Limit,Clipart Limit
Add Clipart limit. User will not be able to add more Clipart on single design area than the set limit.,Add Clipart limit. User will not be able to add more Clipart on single design area than the set limit.
Add the message which will displayed if the number of added images exceeds the set image limit.,Add the message which will displayed if the number of added images exceeds the set image limit.
Custom Image Upload,Custom Image Upload
Show Instruction,Show Instruction
"Select ""Yes"" to show instructions while uploading a customized image.","Select ""Yes"" to show instructions while uploading a customized image."
Instruction Text,Instruction Text
Add the instruction to be displayed while uploading a customized image,Add the instruction to be displayed while uploading a customized image
Enable Image Limit,Enable Image Limit
"Select ""Yes"" to set maximum Images allowed in a single design area","Select ""Yes"" to set maximum Images allowed in a single design area"
Image Limit,Image Limit
Add Image limit. User will not be able to add more Images on a single design area than the set limit.,Add Image limit. User will not be able to add more Images on a single design area than the set limit.
Add the message which will be displayed if the number of images exceeds the limit for customized images,Add the message which will be displayed if the number of images exceeds the limit for customized images
Minimum Size of Image,Minimum Size of Image
Please enter the minimum size of the image. It should be in MB(Megabyte),Please enter the minimum size of the image. It should be in MB(Megabyte)
Maximum Size of Image,Maximum Size of Image
Please enter the maximum size of the image. It should be in MB(Megabyte),Please enter the maximum size of the image. It should be in MB(Megabyte)
User's Confirmation Before Uploading Image,User's Confirmation Before Uploading Image
"Select ""Yes"" to ask for user's confirmation before uploading the custom image","Select ""Yes"" to ask for user's confirmation before uploading the custom image"
Text for User Confirmation,Text for User Confirmation
Add the confirmation message which will be displayed to the user before uploading the custom image,Add the confirmation message which will be displayed to the user before uploading the custom image
Custom Product Image Download,Custom Product Image Download
Download Customized Product Image,Download Customized Product Image
"Select ""Yes"" to enable the download of design from the designer page","Select ""Yes"" to enable the download of design from the designer page"
Dynamic Messages,Dynamic Messages
Design It Label,Design It Label
Add your label for design it button,Add your label for design it button
Print area warning,Print area warning
Add warning message to be shown when any object goes out of the design area.,Add warning message to be shown when any object goes out of the design area.
Low resolution warning,Low resolution warning
Add warning message to be shown when added image object is of low resolution.,Add warning message to be shown when added image object is of low resolution.
All Products,All Products
Enable All Products Section ,Enable All Products Section 
"Select ""Yes"" to enable all products section on tool page","Select ""Yes"" to enable all products section on tool page"
First Tooltip,First Tooltip
"Add first tooltip description for user guide of ""All Products""","Add first tooltip description for user guide of ""All Products"""
Second Tooltip,Second Tooltip
"Add second tooltip description for user guide of ""All Products""","Add second tooltip description for user guide of ""All Products"""
Color Picker,Color Picker
Default Color for Color Picker ,Default Color for Color Picker 
Set default color which will be shown on any color picker throughout the product customization tool.,Set default color which will be shown on any color picker throughout the product customization tool.
Product Designer,Product Designer
Manage Tabs,Manage Tabs
Edit Tab,Edit Tab
Tab,Tab
Custom Label,Custom Label
User Guide,User Guide
Left Panel Tooltip,Left Panel Tooltip
Right Panel Tooltip,Right Panel Tooltip
Tabs Information,Tabs Information
Tabs,Tabs
ID,ID
Action,Action
Manage Sub Tabs,Manage Sub Tabs
Sub Tabs,Sub Tabs
The list includes all the tabs which are neither Main Tabs or Sub Tabs.,The list includes all the tabs which are neither Main Tabs or Sub Tabs.
Subtabs Information,Subtabs Information
Delete Sub Tab,Delete Sub Tab
Delete,Delete
Add Sub Tabs,Add Sub Tabs
Add Sub Tab,Add Sub Tab
Manage Image Effects,Manage Image Effects
Name,Name
Status,Status
Manage Clipart Categories,Manage Clipart Categories
Add Clipart Category,Add Clipart Category
Title,Title
Assign as Root Category?,Assign as Root Category?
Category,Category
Store Views,Store Views
Clipart Images,Clipart Images
Clipart Category Information,Clipart Category Information
"Click here or drag and drop to add images. (Accepted Files : JPG, JPEG, PNG, SVG )","Click here or drag and drop to add images. (Accepted Files : JPG, JPEG, PNG, SVG )"
Category Title,Category Title
Is Root Category?,Is Root Category?
Store View,Store View
Edit Clipart Category,Edit Clipart Category
Delete Clipart Category,Delete Clipart Category
Label,Label
Remove,Remove
Exclude,Exclude
Tags,Tags
NEXT,NEXT
PREV,PREV
Save Clipart Category,Save Clipart Category
Save and Continue Edit,Save and Continue Edit
Save Image Effects,Save Image Effects
"Accepted Files : jpg, jpeg, gif, png","Accepted Files : jpg, jpeg, gif, png"
Effect Name,Effect Name
Effect Image,Effect Image
Image Effects Information,Image Effects Information
Edit Image Effects,Edit Image Effects
Image,Image
Manage Fonts,Manage Fonts
Manage Image Sides,Manage Image Sides
Add Image Side,Add Image Side
Image Side,Image Side
Image Side Information,Image Side Information
Save Image Side,Save Image Side
Edit Image Side,Edit Image Side
Delete Image Side,Delete Image Side
Manage Printable Colors,Manage Printable Colors
Add Printable Color,Add Printable Color
Color Name,Color Name
Color,Color
Printable Color Information,Printable Color Information
Code,Code
Click to view Color Picker,Click to view Color Picker
Save Printable Color,Save Printable Color
Edit Printable Color,Edit Printable Color
Delete Printable Color,Delete Printable Color
Download Order,Download Order
View Design,View Design
Images are not generated,Images are not generated
Qty,Qty
Generate Image,Generate Image
Images Generated,Images Generated
Image Side: Front,Image Side: Front
Download PDF,Download PDF
Download Image ,Download Image 
Download SVG,Download SVG
Image Side: Back,Image Side: Back
Text Word,Text Word
Font Family,Font Family
Font Color,Font Color
Font Size,Font Size
View Designs,View Designs
Select,Select
MakeDesign,MakeDesign
Allow multiple products in add to cart,Allow multiple products in add to cart
Set Default Clipart Category,Set Default Clipart Category
Preview,Preview
Share with,Share with
Save Design,Save Design
Product Options,Product Options
Alignment,Alignment
Align Left,Align Left
Align Horizontally,Align Horizontally
Align Right,Align Right
Align Top,Align Top
Align Vertically,Align Vertically
Align Bottom,Align Bottom
Layer,Layer
Bring Forward,Bring Forward
Send To Back,Send To Back
Bring To Front,Bring To Front
Send Backward,Send Backward
Flip,Flip
Flip Horizontal,Flip Horizontal
Flip Vertical,Flip Vertical
Tools,Tools
Duplicate,Duplicate
Best Fit,Best Fit
Crop Image,Crop Image
Font,Font
Select Font,Select Font
Load More,Load More
Size,Size
Bold,Bold
Italic,Italic
Underline,Underline
Left,Left
Center,Center
Right ,Right 
Justify,Justify
Stroke,Stroke
Reset,Reset
Drop Shadow,Drop Shadow
X-offset,X-offset
Y-offset,Y-offset
Skew,Skew
SkewX,SkewX
SkewY,SkewY
Object Position,Object Position
X,X
Y,Y
View,View
Back,Back
Front,Front
Lock,Lock
Select Object,Select Object
Hide Object,Hide Object
Unlock Object,Unlock Object
Lock Object,Lock Object
Delete Object,Delete Object
Previous Side,Previous Side
Next Side,Next Side
Undo,Undo
Redo,Redo
Zoom,Zoom
Add to Cart,Add to Cart
Quantity,Quantity
Invalid Quantity,Invalid Quantity
Add Note,Add Note
Used Colors,Used Colors
No Cliparts Found,No Cliparts Found
Search Clipart,Search Clipart
Enter Text,Enter Text
No Designs Found,No Designs Found
Get your saved designs,Get your saved designs
Upload,Upload
Get your saved images,Get your saved images
Customer Login,Customer Login
Email,Email
Email is required,Email is required
Invalid Email,Invalid Email
Password,Password
Password is required,Password is required
Login,Login
Create An Account,Create An Account
Customer Registration,Customer Registration
First Name,First Name
First Name is required,First Name is required
Last Name,Last Name
Last Name is required,Last Name is required
Sign Up for Newsletter,Sign Up for Newsletter
Minimum length of this field must be equal or greater than 8 symbols,Minimum length of this field must be equal or greater than 8 symbols
Confirm Password,Confirm Password
Confirm Password is required,Confirm Password is required
Confirm Password must match with password field,Confirm Password must match with password field
Sign Up,Sign Up
Help,Help
Search by Name,Search by Name
Removal of main tabs which contains subtabs will result in removal of those subtabs as well,Removal of main tabs which contains subtabs will result in removal of those subtabs as well
Manage Subtabs,Manage Subtabs
Select All,Select All
Deselect All,Deselect All
Distribute Vertically (must select 3 or more objects),Distribute Vertically (must select 3 or more objects)
Distribute Horizontally (must select 3 or more objects),Distribute Horizontally (must select 3 or more objects)
Ultimate Lock,Ultimate Lock
Opacity,Opacity
Enable Image Thumbnails,Enable Image Thumbnails
"Select ""Yes"" to allow image thumbnails on Product Designer Tool.","Select ""Yes"" to allow image thumbnails on Product Designer Tool."
Please design the product!,Please design the product!
Alert,Alert
Success,Success
Error,Error
Something went wrong,Something went wrong
Product added to cart successfully,Product added to cart successfully
Error in add to cart:,Error in add to cart:
Please enter valid quantity first!,Please enter valid quantity first!
Logged in successfully,Logged in successfully
Error in logging in:,Error in logging in:
Registered,Registered
Registered Successfully!,Registered Successfully!
Error in registering user:,Error in registering user:
Are you sure to reset?,Are you sure to reset?
It will remove the unsaved designs from the design area.,It will remove the unsaved designs from the design area.
Yes,Yes
Please design the product in order to download!,Please design the product in order to download!
OK,OK
Please upload valid file.,Please upload valid file.
Please upload maximum,Please upload maximum
File is too small,File is too small
Are you sure you want to delete this image?,Are you sure you want to delete this image?
No,No
Your design will be deleted permanently!,Your design will be deleted permanently!
Are you sure?,Are you sure?
Design with this name already exists. Please enter different name,Design with this name already exists. Please enter different name
Already Exists,Already Exists
Mail has been sent,Mail has been sent
Error in send mail:,Error in send mail:
Design saved successfully,Design saved successfully
Logged out successfully,Logged out successfully
Plain Text,Plain Text
Name Number,Name Number
(Excl. Tax:,(Excl. Tax:
Buy,Buy
for,for
each and save,each and save
My Designs,My Designs
Background,Background
Clip Art,Clip Art
Templates,Templates
